Year,Month,Region,Total Crime,Active Duty 1941-1947,Active Duty 1941 & Earlier,Active Duty 1947-1950,Active Duty 1950-1955,Active Duty 1955-1964,Active Duty 1964-1975,Active Duty 1975-1990,Active Duty 1990-2001,Active Duty 2001-Recent,Active Duty or Veteran,Carrying Cash,Born Abroad,Born in Territories,Born in US,Naturalized Citizen,Difficulties Concentrating,Difficulties Dressing,Difficulties Going Outside,Difficulties Hearing,Difficulties Seeing,Difficulties with Stairs,Employed,Hate Crime towards Disabled,Hate Crime towards Ethnicity,Hate Crime towards Gender,Hate Crime towards Race,Hate Crime towards Religion,Hate Crime towards Sexuality,High Income,Low Income,Middle Income,Worked in the past 2 Weeks,Worked in the past 6 Months,Worked in the past Week,Federal Employee,Non-Profit Employee,Private Employee,Self-employed,State Employee,Lived at Address 10-15 Years,Lived at Address 15+ Years,Lived at Address 5-10 Years,Lived at Address 0-5 Years,Living on a Reservation,Living at a Dormitory,Living at a House,Living at a NonPermanent Hotel,Living at a Permanent Hotel,Living at a Permanent Mobile Home,Works in Agriculture,Works in Construction,Works in Entertainment,Works in Finance,Works in Government,Works in Manufacturing,Works in Personal Services,Works in Professional Services,Works in Repair Services,Works in Retail Trade,Works in Transportation,Works in Wholesale Trade,Pregnant,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,Hispanic,AAPI,Native,Asian,Black,Multiracial,White,Associates Degree,Bachelors Degree,High School Degree,Less than High School,Masters Degree,Doctorate Degree,Professional Degree,Divorced,Married,Single,Separated,Widowed,College Student,Not a Student,K-12 Student,Trade Student,Vocational Student,Female,Male,Not Heterosexual Identifying,Works in City,Works in Rural Location,Works in Suburb
1996,6,Midwest,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,NA,0,189,57,23,27,186,NA,NA,NA,NA,NA,19,34,34,117,NA,2,272,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,68,84,63,29,15,16,11,NA,NA,NA,NA,NA,NA,0,0,0,138,0,0,0,55,130,76,8,15,25,256,0,1,1,127,157,NA,122,21,45
1996,6,Northeast,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,0,127,56,13,16,135,NA,NA,NA,NA,NA,16,33,26,81,NA,4,201,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,28,61,67,27,13,11,14,NA,NA,NA,NA,NA,NA,0,0,0,89,0,0,0,27,104,55,14,10,16,192,0,0,2,85,127,NA,68,18,46
1996,6,South,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,0,278,101,24,30,260,NA,NA,NA,NA,NA,29,58,62,149,NA,6,373,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,71,106,115,47,37,29,35,NA,NA,NA,NA,NA,NA,0,0,0,207,0,0,0,70,213,74,28,25,24,381,0,1,2,174,238,NA,168,22,49
1996,6,West,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,0,236,84,19,26,186,NA,NA,NA,NA,NA,31,31,42,141,NA,1,340,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,56,114,99,40,21,18,77,NA,NA,NA,NA,NA,NA,0,0,0,165,0,0,0,54,189,70,18,22,20,327,0,3,1,171,183,NA,132,17,28
1996,7,Midwest,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,NA,0,200,70,23,27,215,NA,NA,NA,NA,NA,18,55,46,104,NA,3,296,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,53,87,89,40,19,17,9,NA,NA,NA,NA,NA,NA,0,0,0,147,0,0,0,51,183,56,8,15,18,292,0,0,3,124,189,NA,125,39,49
1996,7,Northeast,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,0,137,64,15,18,140,NA,NA,NA,NA,NA,23,42,46,71,NA,8,215,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,27,64,64,37,18,13,17,NA,NA,NA,NA,NA,NA,0,0,0,102,0,0,0,29,112,58,19,12,26,204,0,0,0,95,136,NA,72,13,48
1996,7,South,429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,NA,NA,NA,NA,0,296,101,22,33,278,NA,NA,NA,NA,NA,36,59,61,154,NA,2,378,0,0,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,68,117,132,50,32,27,49,NA,NA,NA,NA,NA,NA,0,0,0,217,0,0,0,77,247,58,20,24,17,403,0,2,1,154,275,NA,195,21,50
1996,7,West,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,0,247,90,24,32,223,NA,NA,NA,NA,NA,29,43,50,132,NA,1,330,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,68,97,93,50,21,17,73,NA,NA,NA,NA,NA,NA,0,0,0,138,0,0,0,54,199,71,15,17,27,323,0,2,3,142,215,NA,162,23,29
1996,8,Midwest,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,NA,0,209,88,22,32,218,NA,NA,NA,NA,NA,32,44,47,117,NA,3,320,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,63,95,85,48,22,13,8,NA,NA,NA,NA,NA,NA,0,0,0,163,0,0,0,73,179,62,8,11,28,298,0,1,4,142,192,NA,138,20,50
1996,8,Northeast,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,0,140,62,15,20,140,NA,NA,NA,NA,NA,21,38,43,70,NA,6,216,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,37,58,67,36,12,12,9,NA,NA,NA,NA,NA,NA,0,0,0,85,0,0,0,28,116,61,14,6,19,201,0,2,0,96,129,NA,75,15,54
