,Region,Year,Month,Male,Female,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,AAPI,Native,Asian,Black,White,Hispanic,Total
76,Midwest,1982,January,4.25e-06,1.5e-06,5.1e-07,2.18e-06,1.04e-06,7.14e-07,5.27e-07,2.21e-07,2.72e-07,0.0,3.4e-08,1.7e-08,3.2e-06,2.5e-06,1.19e-07,5.76684595850981e-06
77,Midwest,1982,July,4.83e-06,1.62e-06,6.29e-07,2.31e-06,1.55e-06,6.46e-07,4.08e-07,2.89e-07,2.55e-07,0.0,3.4e-08,1.7e-08,3.74e-06,2.62e-06,2.72e-07,6.4472975655553e-06
78,Midwest,1982,June,4.18e-06,1.12e-06,4.76e-07,1.94e-06,1.12e-06,5.78e-07,4.76e-07,3.23e-07,1.87e-07,0.0,1.7e-08,5.1e-08,3.3e-06,1.94e-06,1.7e-07,5.30754086230035e-06
79,Midwest,1982,March,3.96e-06,1.39e-06,6.63e-07,1.7e-06,1.17e-06,6.12e-07,4.25e-07,1.53e-07,3.57e-07,0.0,1.7e-08,5.1e-08,2.99e-06,2.3e-06,2.38e-07,5.35857477212431e-06
80,Midwest,1982,May,4.25e-06,1.02e-06,3.4e-07,2.06e-06,1.02e-06,7.14e-07,3.91e-07,3.57e-07,2.55e-07,0.0,0.0,0.0,2.99e-06,2.28e-06,4.25e-07,5.27351825415609e-06
81,Midwest,1982,November,4.17e-06,1.39e-06,4.59e-07,1.82e-06,1.39e-06,5.1e-07,4.59e-07,2.55e-07,3.74e-07,0.0,1.7e-08,1.7e-08,2.84e-06,2.65e-06,3.06e-07,5.56271038626375e-06
82,Midwest,1982,October,4.07e-06,1.41e-06,8.68e-07,1.55e-06,1.21e-06,5.95e-07,3.91e-07,3.4e-07,3.23e-07,0.0,3.4e-08,1.7e-08,3.11e-06,2.3e-06,2.04e-07,5.49466518618076e-06
83,Midwest,1982,September,4.41e-06,1.43e-06,4.93e-07,2.04e-06,1.31e-06,7.31e-07,5.27e-07,2.04e-07,2.21e-07,0.0,3.4e-08,0.0,3.18e-06,2.6e-06,2.55e-07,5.83489114007221e-06
84,Midwest,1983,April,3.17e-06,1.29e-06,5.28e-07,1.5e-06,9.71e-07,4.6e-07,4.6e-07,1.36e-07,2.73e-07,0.0,3.41e-08,6.82e-08,2.44e-06,1.93e-06,2.9e-07,4.46402557655326e-06
85,Midwest,1983,August,4.52e-06,1.53e-06,4.43e-07,1.91e-06,1.67e-06,7.67e-07,4.26e-07,1.7e-07,3.58e-07,0.0,3.41e-08,5.11e-08,3.36e-06,2.57e-06,2.56e-07,6.04857948128395e-06
86,Midwest,1983,December,4.28e-06,1.96e-06,5.28e-07,2.33e-06,1.23e-06,6.99e-07,5.45e-07,3.92e-07,3.75e-07,0.0,1.7e-08,1.7e-08,3.42e-06,2.78e-06,2.56e-07,6.23599966965053e-06
87,Midwest,1983,February,3.71e-06,1.01e-06,4.26e-07,1.84e-06,9.2e-07,4.6e-07,4.26e-07,2.73e-07,1.87e-07,0.0,0.0,6.82e-08,2.57e-06,2.06e-06,2.21e-07,4.71959895674806e-06
88,Midwest,1983,January,3.99e-06,1.21e-06,5.62e-07,1.82e-06,1.07e-06,5.96e-07,3.75e-07,1.87e-07,2.56e-07,0.0,1.7e-08,5.11e-08,3.27e-06,1.86e-06,1.53e-07,5.19666909197987e-06
89,Midwest,1983,July,4.8e-06,1.07e-06,6.99e-07,1.87e-06,1.53e-06,7.16e-07,3.92e-07,3.24e-07,2.21e-07,0.0,3.41e-08,6.82e-08,3.25e-06,2.52e-06,4.94e-07,5.87819746143882e-06
90,Midwest,1983,June,3.32e-06,1.23e-06,4.09e-07,1.57e-06,1.14e-06,4.6e-07,4.43e-07,2.39e-07,1.19e-07,0.0,1.7e-08,0.0,2.68e-06,1.86e-06,2.21e-07,4.54921671046837e-06
91,Midwest,1983,March,4.12e-06,1.19e-06,4.6e-07,1.69e-06,1.33e-06,7.67e-07,3.92e-07,2.56e-07,2.21e-07,0.0,1.7e-08,1.7e-08,2.96e-06,2.3e-06,2.21e-07,5.31593659000393e-06
92,Midwest,1983,May,4.12e-06,1.31e-06,6.64e-07,1.74e-06,1.09e-06,6.3e-07,5.62e-07,2.04e-07,2.56e-07,0.0,1.7e-08,0.0,3.27e-06,2.15e-06,1.53e-07,5.43520407402529e-06
93,Midwest,1983,November,4.31e-06,1.4e-06,5.79e-07,2.04e-06,1.21e-06,5.96e-07,4.94e-07,2.73e-07,2.9e-07,0.0,3.41e-08,1.7e-08,3.03e-06,2.62e-06,3.58e-07,5.70781541256365e-06
94,Midwest,1983,October,3.82e-06,1.28e-06,4.26e-07,1.72e-06,1.04e-06,6.47e-07,3.92e-07,2.9e-07,3.07e-07,0.0,1.7e-08,1.7e-08,2.64e-06,2.42e-06,3.07e-07,5.09443979628859e-06
95,Midwest,1983,September,4.09e-06,1.41e-06,6.13e-07,2.1e-06,1.14e-06,6.13e-07,2.9e-07,2.9e-07,2.39e-07,0.0,6.82e-08,3.41e-08,3.12e-06,2.28e-06,2.9e-07,5.50335691568261e-06
96,Midwest,1984,April,2.79e-06,9.19e-07,3.74e-07,1.41e-06,8.68e-07,3.23e-07,2.55e-07,1.7e-07,1.87e-07,0.0,3.4e-08,3.4e-08,1.99e-06,1.65e-06,1.19e-07,3.72604881154407e-06
97,Midwest,1984,August,3.03e-06,9.87e-07,4.25e-07,1.28e-06,1e-06,4.08e-07,2.38e-07,2.21e-07,2.55e-07,0.0,5.1e-08,1.7e-08,1.89e-06,2.06e-06,1.53e-07,4.01528489663685e-06
98,Midwest,1984,December,2.88e-06,1.21e-06,4.59e-07,1.33e-06,9.53e-07,5.61e-07,2.89e-07,1.19e-07,1.19e-07,0.0,0.0,1.7e-08,2.06e-06,1.99e-06,1.02e-07,4.10035431733807e-06
99,Midwest,1984,February,2.99e-06,1.11e-06,4.25e-07,1.43e-06,7.83e-07,3.91e-07,4.08e-07,2.55e-07,2.04e-07,0.0,1.7e-08,5.1e-08,2.19e-06,1.82e-06,6.81e-08,4.10035431733807e-06
100,Midwest,1984,January,2.86e-06,1.21e-06,3.4e-07,1.24e-06,9.02e-07,5.1e-07,2.72e-07,2.72e-07,2.89e-07,0.0,3.4e-08,1.7e-08,2.21e-06,1.8e-06,6.81e-08,4.06632655001481e-06
101,Midwest,1984,July,2.99e-06,9.53e-07,5.78e-07,1.36e-06,8.34e-07,5.1e-07,2.38e-07,1.53e-07,1.7e-07,0.0,3.4e-08,3.4e-08,2.19e-06,1.67e-06,8.51e-08,3.94722935459892e-06
102,Midwest,1984,June,2.43e-06,1.05e-06,3.06e-07,1.55e-06,7.32e-07,4.08e-07,1.36e-07,2.04e-07,8.51e-08,0.0,1.7e-08,0.0,1.67e-06,1.79e-06,5.1e-08,3.4878543256979e-06
103,Midwest,1984,March,2.82e-06,1.14e-06,3.91e-07,1.28e-06,8.51e-07,3.91e-07,3.74e-07,2.21e-07,1.7e-07,0.0,3.4e-08,1.7e-08,1.91e-06,2.01e-06,1.02e-07,3.96424324065363e-06
104,Midwest,1984,May,2.77e-06,1.34e-06,4.42e-07,1.21e-06,8.85e-07,3.74e-07,4.25e-07,2.72e-07,3.4e-07,0.0,0.0,3.4e-08,1.97e-06,2.11e-06,5.1e-08,4.11736820078753e-06
105,Midwest,1984,November,2.71e-06,9.53e-07,3.06e-07,1.23e-06,8.51e-07,3.23e-07,3.4e-07,2.55e-07,2.21e-07,0.0,1.7e-08,3.4e-08,1.92e-06,1.67e-06,1.53e-07,3.65799324982202e-06
106,Midwest,1984,October,3.33e-06,8.17e-07,3.4e-07,1.24e-06,1.07e-06,5.27e-07,2.89e-07,2.72e-07,1.36e-07,0.0,1.7e-08,0.0,2.21e-06,1.92e-06,5.1e-08,4.15139596637395e-06
