"","Region","Year","Month","referenceSex_male","referenceSex_female","referenceSex_unknown","reference_age_10s","reference_age_20s","reference_age_30s","reference_age_40s","reference_age_50s","reference_age_60s","reference_age_70sOlder","reference_age_Unknown","reference_raceAAPI","reference_raceAmericanIndian","reference_raceAsian","reference_raceBlack","reference_raceWhite","reference_raceUnknown","reference_hispanic_yes","reference_hispanic_unknown","offernderRelation_boyfriend_girlfriend_yes","offernderRelation_child_yes","offernderRelation_employee_yes","offernderRelation_exspouse_yes","offernderRelation_friend_yes","offernderRelation_otherRelative_yes","offernderRelation_parent_yes","offernderRelation_sibling_yes","offernderRelation_spouse_yes","offernderRelation_suporvisor_yes","Total"
"22","Midwest",1977,"November",4.38634456917745e-06,1.38786891704122e-06,0,6.33965052893069e-07,1.9532964422701e-06,1.14799047654482e-06,6.16830867546783e-07,6.85367607170446e-07,1.88476138698043e-07,3.42683862301318e-07,8.56709766401127e-08,0,3.42683915367871e-08,1.71341959151839e-08,2.99847981362404e-06,2.70719931177025e-06,1.71341959151839e-08,0,5.77420739856496e-06,1.19939365241093e-07,1.19939365241093e-07,0,0,3.42683862301318e-07,1.37073559101213e-07,1.19939365241093e-07,1.02805171087393e-07,7.02501791342412e-07,0,5.77420739856496e-06
"23","Midwest",1977,"October",4.30067396097947e-06,1.30219805196161e-06,0,6.85367607170446e-07,2.14177221281876e-06,1.06231959091461e-06,5.99696681906916e-07,4.28354809583376e-07,2.91281290409118e-07,1.54207752667752e-07,0,0,5.14025868648096e-08,1.71341959151839e-08,3.10128467623063e-06,2.43305287937047e-06,0,0,5.60286641284956e-06,1.7134194594071e-07,1.54207752667752e-07,0,5.14025868648096e-08,2.91281290409118e-07,1.71341959151839e-08,1.37073559101213e-07,3.42683915367871e-08,4.79757374429645e-07,0,5.60286641284956e-06
"24","Midwest",1977,"September",4.98603862061464e-06,1.66201563575252e-06,0,9.08111978506736e-07,1.98756476687062e-06,1.23366135483553e-06,8.90977797857733e-07,7.02501791342412e-07,3.76952242094882e-07,2.74147099191223e-07,3.42683915367871e-08,0,3.42683915367871e-08,1.71341959151839e-08,3.68384536573733e-06,2.87854079363278e-06,3.42683915367871e-08,0,6.64804596974261e-06,1.7134194594071e-07,2.22744523776057e-07,0,1.02805171087393e-07,4.28354809583376e-07,8.56709766401127e-08,1.37073559101213e-07,6.85367818992515e-08,4.96891562124574e-07,0,6.64804596974261e-06
"25","Midwest",1978,"April",4.02698942909904e-06,1.26270182059087e-06,0,5.46033415287396e-07,2.01349674174102e-06,8.87304148408763e-07,6.31351109486399e-07,4.9484279531843e-07,2.21826110856877e-07,2.73016745023781e-07,6.82541932994077e-08,0,8.53177407853257e-08,1.70635486505767e-08,2.76429109919859e-06,2.40595749881894e-06,1.70635486505767e-08,0,5.28968616481647e-06,1.5357192826144e-07,1.5357192826144e-07,0,1.70635486505767e-08,2.5595320051863e-07,1.02381287980079e-07,6.82541932994077e-08,1.70635486505767e-08,4.77779254820461e-07,0,5.28968616481647e-06
"26","Midwest",1978,"August",4.24881464688845e-06,1.55278174332197e-06,0,8.36113545909655e-07,1.97936971205907e-06,1.12619359238546e-06,6.31351109486399e-07,4.9484279531843e-07,2.21826110856877e-07,2.5595320051863e-07,6.82541932994077e-08,0,1.70635486505767e-08,1.70635486505767e-08,3.03730708930371e-06,2.71310059278349e-06,1.70635486505767e-08,0,5.8015897925257e-06,1.02381287980079e-07,2.5595320051863e-07,0,5.11906453002805e-08,3.5833446251594e-07,8.53177407853257e-08,1.5357192826144e-07,1.70635486505767e-08,8.01986476047081e-07,1.70635486505767e-08,5.8015897925257e-06
"27","Midwest",1978,"December",5.52857455711302e-06,1.26270182059087e-06,0,6.99605259693461e-07,2.67897358697692e-06,1.24563829297325e-06,7.33732333050006e-07,6.48414647585933e-07,3.07143832716503e-07,1.8769902025251e-07,5.11906453002805e-08,0,3.41270972320332e-08,0,3.44683093492525e-06,3.25913252662971e-06,5.11906453002805e-08,0,6.79126939656439e-06,1.70635474291535e-07,2.38889655944358e-07,0,3.41270972320332e-08,3.5833446251594e-07,8.53177407853257e-08,8.53177407853257e-08,5.11906453002805e-08,4.77779254820461e-07,0,6.79126939656439e-06
"28","Midwest",1978,"February",3.94167202460759e-06,1.3480194536454e-06,0,7.67859405241894e-07,1.55278174332197e-06,9.38494748509437e-07,5.80160493884899e-07,4.60715713809283e-07,4.09525089472851e-07,2.38889655944358e-07,1.70635486505767e-08,0,3.41270972320332e-08,0,2.90079910356837e-06,2.32063995602514e-06,3.41270972320332e-08,0,5.28968616481647e-06,1.36508381718136e-07,1.8769902025251e-07,0,5.11906453002805e-08,3.7539800505206e-07,0,1.70635474291535e-07,1.19444835105712e-07,4.9484279531843e-07,0,5.28968616481647e-06
"29","Midwest",1978,"January",4.26587812303933e-06,1.41627355471485e-06,0,6.14287571317745e-07,1.89405213286983e-06,1.04087594040527e-06,7.8492294079007e-07,4.77779254820461e-07,2.90080289015724e-07,2.21826110856877e-07,3.41270972320332e-08,0,3.41270972320332e-08,0,2.96905309887637e-06,2.66191008352587e-06,1.70635486505767e-08,0,5.68214563612097e-06,1.8769902025251e-07,3.4127091946661e-07,0,1.70635486505767e-08,3.24207376348161e-07,5.11906453002805e-08,8.53177407853257e-08,1.36508381718136e-07,7.33732333050006e-07,0,5.68214563612097e-06
"30","Midwest",1978,"July",4.55595717461071e-06,1.46746412773727e-06,0,6.14287571317745e-07,1.9964332269346e-06,1.16032065118379e-06,9.04367682140833e-07,5.11906335525235e-07,2.21826110856877e-07,3.24207376348161e-07,3.41270972320332e-08,0,3.41270972320332e-08,5.11906453002805e-08,3.07143408288143e-06,2.84960860414118e-06,1.70635486505767e-08,0,6.0234146166644e-06,8.53177407853257e-08,2.38889655944358e-07,0,6.82541932994077e-08,4.26588631135478e-07,3.41270972320332e-08,1.19444835105712e-07,1.19444835105712e-07,5.97224032635882e-07,1.70635486505767e-08,6.0234146166644e-06
"31","Midwest",1978,"June",3.97579898732206e-06,1.1773841800352e-06,0,6.48414647585933e-07,1.85992509911158e-06,9.04367682140833e-07,5.63096954842752e-07,5.63096954842752e-07,1.8769902025251e-07,2.73016745023781e-07,6.82541932994077e-08,0,1.70635486505767e-08,0,3.00318009478339e-06,2.04762377025833e-06,8.53177407853257e-08,0,5.15317848654853e-06,1.02381287980079e-07,1.36508381718136e-07,0,3.41270972320332e-08,2.73016745023781e-07,3.41270972320332e-08,6.82541932994077e-08,5.11906453002805e-08,4.9484279531843e-07,0,5.15317848654853e-06
