Region,Year,Month,Male,Female,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,AAPI,Native,Asian,Black,White,Hispanic
Midwest,1979,January,4.53E-06,1.34E-06,4.93E-07,1.89E-06,1.21E-06,6.97E-07,5.10E-07,4.76E-07,3.74E-07,0,3.40E-08,0,2.81E-06,3.01E-06,0
Midwest,1979,July,5.34E-06,1.60E-06,7.49E-07,2.40E-06,1.55E-06,7.49E-07,5.27E-07,3.06E-07,4.08E-07,0,1.70E-08,1.70E-08,3.28E-06,3.49E-06,0
Midwest,1979,June,4.64E-06,1.51E-06,7.31E-07,2.08E-06,1.38E-06,6.29E-07,4.93E-07,3.40E-07,2.89E-07,0,1.70E-08,1.70E-08,3.16E-06,2.91E-06,0
Midwest,1979,March,4.63E-06,1.79E-06,7.14E-07,2.35E-06,1.39E-06,7.83E-07,4.76E-07,2.55E-07,1.87E-07,0,3.40E-08,5.10E-08,3.37E-06,2.94E-06,0
Midwest,1979,May,4.61E-06,1.36E-06,7.31E-07,2.01E-06,1.16E-06,6.80E-07,5.61E-07,2.89E-07,2.89E-07,0,8.51E-08,0,3.15E-06,2.74E-06,0
Midwest,1979,November,5.46E-06,1.58E-06,4.59E-07,2.69E-06,1.41E-06,9.36E-07,6.80E-07,3.57E-07,3.40E-07,0,3.40E-08,1.70E-08,3.86E-06,3.05E-06,0
Midwest,1979,October,6.12E-06,1.82E-06,1.07E-06,3.16E-06,1.45E-06,8.68E-07,3.74E-07,3.06E-07,4.42E-07,0,3.40E-08,0,4.29E-06,3.59E-06,0
Midwest,1979,September,4.98E-06,1.46E-06,6.46E-07,2.38E-06,1.17E-06,7.66E-07,5.95E-07,3.06E-07,3.06E-07,0,5.10E-08,0,3.13E-06,3.23E-06,0
Midwest,1980,April,4.52E-06,1.41E-06,5.78E-07,2.26E-06,1.29E-06,5.78E-07,4.08E-07,3.57E-07,2.72E-07,0,1.70E-08,0,3.11E-06,2.79E-06,6.80E-08
Midwest,1980,August,6.66E-06,1.38E-06,9.34E-07,3.01E-06,1.73E-06,1.00E-06,6.12E-07,2.38E-07,3.23E-07,0,1.70E-08,3.40E-08,4.81E-06,3.16E-06,1.70E-07
Midwest,1980,December,4.81E-06,1.53E-06,7.98E-07,1.95E-06,1.72E-06,8.15E-07,4.76E-07,2.55E-07,1.70E-07,0,1.70E-08,0,3.52E-06,2.79E-06,8.49E-08
